VariablesInteres,VariablesCondicionadas,VariablesMarginalizadas,TiempoEjecucion(us),EstadosEvaluados
1,0,19,62532.21,1048576
1,0,19,50806.60,1048576
1,0,19,56559.93,1048576
1,0,19,60053.98,1048576
1,0,19,65542.94,1048576
1,0,19,64385.97,1048576
1,0,19,60164.79,1048576
1,0,19,48683.73,1048576
1,0,19,57003.65,1048576
1,0,19,55660.22,1048576
1,0,19,73073.49,1048576
1,0,19,67770.98,1048576
1,0,19,60303.50,1048576
1,0,19,67539.83,1048576
1,0,19,69222.74,1048576
1,0,19,70430.75,1048576
1,0,19,65269.07,1048576
1,0,19,49999.58,1048576
1,0,19,48614.68,1048576
1,0,19,48746.25,1048576
1,1,18,36609.23,1048576
1,1,18,33064.82,1048576
1,1,18,29052.99,1048576
1,1,18,26176.40,1048576
1,1,18,31097.88,1048576
1,1,18,24963.96,1048576
1,1,18,26950.08,1048576
1,1,18,27173.38,1048576
1,1,18,28650.72,1048576
1,1,18,24685.94,1048576
1,1,18,29504.38,1048576
1,1,18,25708.90,1048576
1,1,18,31686.35,1048576
1,1,18,36444.87,1048576
1,1,18,30264.32,1048576
1,1,18,36080.95,1048576
1,1,18,24639.52,1048576
1,1,18,33018.17,1048576
1,1,18,30558.36,1048576
1,1,18,33196.46,1048576
1,2,17,19068.97,1048576
1,2,17,17980.74,1048576
1,2,17,14052.68,1048576
1,2,17,17547.59,1048576
1,2,17,18705.37,1048576
1,2,17,19281.46,1048576
1,2,17,17471.62,1048576
1,2,17,17879.36,1048576
1,2,17,18858.43,1048576
1,2,17,14072.67,1048576
1,2,17,19079.98,1048576
1,2,17,13187.04,1048576
1,2,17,14774.64,1048576
1,2,17,15312.95,1048576
1,2,17,19581.52,1048576
1,2,17,15077.97,1048576
1,2,17,19158.19,1048576
1,2,17,14507.22,1048576
1,2,17,16996.18,1048576
1,2,17,16746.35,1048576
1,3,16,9862.57,1048576
1,3,16,10239.02,1048576
1,3,16,9414.25,1048576
1,3,16,9453.06,1048576
1,3,16,7683.14,1048576
1,3,16,8371.54,1048576
1,3,16,7752.78,1048576
1,3,16,9825.40,1048576
1,3,16,8856.40,1048576
1,3,16,8537.06,1048576
1,3,16,10132.27,1048576
1,3,16,8238.94,1048576
1,3,16,8891.16,1048576
1,3,16,10228.66,1048576
1,3,16,9895.56,1048576
1,3,16,7109.69,1048576
1,3,16,10755.51,1048576
1,3,16,8069.11,1048576
1,3,16,7262.87,1048576
1,3,16,6983.72,1048576
1,4,15,4674.02,1048576
1,4,15,4767.07,1048576
1,4,15,4971.09,1048576
1,4,15,4154.08,1048576
1,4,15,5129.67,1048576
1,4,15,4490.89,1048576
1,4,15,4598.13,1048576
1,4,15,4936.97,1048576
1,4,15,5163.37,1048576
1,4,15,5679.57,1048576
1,4,15,5461.01,1048576
1,4,15,6003.00,1048576
1,4,15,5158.96,1048576
1,4,15,4075.39,1048576
1,4,15,4415.83,1048576
1,4,15,4722.23,1048576
1,4,15,4644.46,1048576
1,4,15,5773.06,1048576
1,4,15,3960.47,1048576
1,4,15,4684.92,1048576
1,5,14,3181.32,1048576
1,5,14,2752.24,1048576
1,5,14,2730.66,1048576
1,5,14,3204.66,1048576
1,5,14,2812.76,1048576
1,5,14,2918.30,1048576
1,5,14,2934.62,1048576
1,5,14,3430.10,1048576
1,5,14,2701.17,1048576
1,5,14,4132.50,1048576
1,5,14,2548.51,1048576
1,5,14,2559.18,1048576
1,5,14,2601.53,1048576
1,5,14,2575.22,1048576
1,5,14,3018.58,1048576
1,5,14,3286.77,1048576
1,5,14,2913.45,1048576
1,5,14,3031.51,1048576
1,5,14,3535.08,1048576
1,5,14,2998.19,1048576
1,6,13,2041.66,1048576
1,6,13,2378.91,1048576
1,6,13,2151.13,1048576
1,6,13,1971.69,1048576
1,6,13,1806.52,1048576
1,6,13,1983.45,1048576
1,6,13,1841.16,1048576
1,6,13,2069.33,1048576
1,6,13,2503.40,1048576
1,6,13,1838.18,1048576
1,6,13,2137.82,1048576
1,6,13,1729.48,1048576
1,6,13,1801.10,1048576
1,6,13,2066.21,1048576
1,6,13,2375.11,1048576
1,6,13,2388.04,1048576
1,6,13,1741.63,1048576
1,6,13,2460.70,1048576
1,6,13,2103.79,1048576
1,6,13,2069.46,1048576
